GeneID,log2(FC)M2,P-valueM2,P-adjM2,log2(FC)M4,P-valueM4,P-adjM4
ENSG00000232198,NA,NA,NA,NA,NA,NA
ENSG00000232199,NA,NA,NA,NA,NA,NA
ENSG00000232200,NA,NA,NA,NA,NA,NA
ENSG00000232202,-0.078639216,0.643629761,NA,0.115677414,0.387715484,NA
ENSG00000232203,0.022857889,0.833258758,NA,-0.03944125,0.644806011,NA
ENSG00000232204,NA,NA,NA,NA,NA,NA
ENSG00000232205,NA,NA,NA,NA,NA,NA
ENSG00000232208,0.012946606,0.763648132,NA,NA,NA,NA
ENSG00000232210,NA,NA,NA,0.007156764,0.802934389,NA
ENSG00000232211,NA,NA,NA,NA,NA,NA
ENSG00000232212,NA,NA,NA,NA,NA,NA
ENSG00000232215,NA,NA,NA,NA,NA,NA
ENSG00000232216,NA,NA,NA,NA,NA,NA
ENSG00000232217,-0.011911674,0.782043764,NA,NA,NA,NA
ENSG00000232218,NA,NA,NA,-0.014072431,0.734960499,NA
ENSG00000232220,NA,NA,NA,NA,NA,NA
ENSG00000232222,NA,NA,NA,NA,NA,NA
ENSG00000232223,0.012946606,0.763648132,NA,NA,NA,NA
ENSG00000232224,0.036197695,0.681216998,NA,0.045278927,0.528635551,NA
ENSG00000232225,NA,NA,NA,NA,NA,NA
ENSG00000232226,NA,NA,NA,-0.006362426,0.824428122,NA
ENSG00000232227,NA,NA,NA,NA,NA,NA
ENSG00000232228,NA,NA,NA,NA,NA,NA
ENSG00000232229,NA,NA,NA,0.07930845,0.462231357,NA
ENSG00000232230,NA,NA,NA,NA,NA,NA
ENSG00000232232,NA,NA,NA,NA,NA,NA
ENSG00000232233,-0.01479077,0.907466358,NA,-0.00394395,0.973249233,NA
ENSG00000232234,NA,NA,NA,NA,NA,NA
ENSG00000232235,NA,NA,NA,NA,NA,NA
ENSG00000232237,0.091993411,0.381068894,NA,-0.069435453,0.375245498,NA
ENSG00000232238,-0.053748284,0.622415717,NA,0.018068293,0.746542988,NA
ENSG00000232239,NA,NA,NA,NA,NA,NA
ENSG00000232240,NA,NA,NA,NA,NA,NA
ENSG00000232241,NA,NA,NA,-0.006362426,0.824428122,NA
ENSG00000232242,NA,NA,NA,NA,NA,NA
ENSG00000232243,NA,NA,NA,NA,NA,NA
ENSG00000232244,NA,NA,NA,NA,NA,NA
ENSG00000232245,NA,NA,NA,0.007156764,0.802934389,NA
ENSG00000232249,NA,NA,NA,NA,NA,NA
ENSG00000232251,NA,NA,NA,NA,NA,NA
ENSG00000232252,0.017849535,0.773897114,NA,0.014335593,0.731627316,NA
ENSG00000232253,NA,NA,NA,NA,NA,NA
ENSG00000232254,NA,NA,NA,NA,NA,NA
ENSG00000232256,NA,NA,NA,NA,NA,NA
ENSG00000232258,0.022801227,0.858737389,NA,-0.108048108,0.137113498,NA
ENSG00000232259,NA,NA,NA,0.007156764,0.802934389,NA
ENSG00000232260,-0.027142717,0.906366724,0.979517916,-0.161611761,0.342073923,0.677751138
ENSG00000232261,NA,NA,NA,NA,NA,NA
ENSG00000232263,NA,NA,NA,NA,NA,NA
ENSG00000232264,NA,NA,NA,NA,NA,NA
ENSG00000232265,NA,NA,NA,NA,NA,NA
ENSG00000232266,NA,NA,NA,NA,NA,NA
ENSG00000232267,0.071244825,0.666039974,NA,0.085950061,0.466043953,NA
ENSG00000232268,-0.011911674,0.782043764,NA,NA,NA,NA
ENSG00000232270,0.012946606,0.763648132,NA,-0.038243373,0.336817989,NA
ENSG00000232271,NA,NA,NA,NA,NA,NA
ENSG00000232272,NA,NA,NA,NA,NA,NA
ENSG00000232273,NA,NA,NA,NA,NA,NA
ENSG00000232274,NA,NA,NA,NA,NA,NA
ENSG00000232276,NA,NA,NA,NA,NA,NA
ENSG00000232277,NA,NA,NA,NA,NA,NA
ENSG00000232280,NA,NA,NA,NA,NA,NA
ENSG00000232281,NA,NA,NA,NA,NA,NA
ENSG00000232282,NA,NA,NA,NA,NA,NA
ENSG00000232283,NA,NA,NA,NA,NA,NA
ENSG00000232284,0.033614254,0.623111177,NA,-0.013945972,0.833376728,NA
ENSG00000232285,NA,NA,NA,NA,NA,NA
ENSG00000232286,NA,NA,NA,NA,NA,NA
ENSG00000232287,-0.011911674,0.782043764,NA,-0.006362426,0.824428122,NA
ENSG00000232289,NA,NA,NA,NA,NA,NA
ENSG00000232290,NA,NA,NA,NA,NA,NA
ENSG00000232292,NA,NA,NA,NA,NA,NA
ENSG00000232293,0.019673767,0.765516946,NA,0.015312461,0.774950561,NA
ENSG00000232294,NA,NA,NA,NA,NA,NA
ENSG00000232295,NA,NA,NA,0.000581742,0.986605352,NA
ENSG00000232296,NA,NA,NA,NA,NA,NA
ENSG00000232298,0.012946606,0.763648132,NA,NA,NA,NA
